name,date,overall_rating,food_rating,service_rating,ambience_rating,review_text,source,scrape_timestamp
Peter,Dined 1 day ago,4,5,5,3,"The food was delicious, I highly recommend the salmon aburi sushi. My friend and I ended up eating a whole try of them after tasting them in the sampler plate.",OpenTable,2025-11-23 05:15:08.757383
Jason,Dined 1 day ago,2,4,4,1,The food is good. The server is very attentive. But the noise level is so high. The manager is very rude. I was sitting at the counter. He’s banging the counter and talked kindly with other employees. It seriously ruined the otherwise very good dinner.,OpenTable,2025-11-23 05:15:08.757383
Keagan,Dined 3 days ago,5,5,5,5,"Good service, and good sushi. There is a 50 character minimum for this",OpenTable,2025-11-23 05:15:08.757383
Patricia,Dined 5 days ago,5,5,5,5,"It was a wonderful evening! Our 24 anniversary. The food was delicious and the service provided was amazing. My favourite was the lobster ceviche, but all the other dishes were exquisite. I definitely recommend.",OpenTable,2025-11-23 05:15:08.757383
Justine,Dined 6 days ago,5,5,5,5,"We absolutely love going to Miku whenever we're in town! It was our anniversary and they surprised us with some special additions to our meal. 10/10 meal, service, and vibe.",OpenTable,2025-11-23 05:15:08.757383
Kenneth,Dined 6 days ago,4,3,2,4,For being Michelin rated i was disappointed.  Staff left us with no water and drink for about 20 min.  Sushi was good but had better at less expensive places.,OpenTable,2025-11-23 05:15:08.757383
Jackie,Dined 7 days ago,4,4,5,4,"Had the Kaiseki. While the lobster ceviche course and all the sushi and sashimi was excellent, the sablefish and dessert were a real miss for me. The sablefish lacked flavour and the matcha opera cake was a pretty odd texture. The cake almost felt stale. 

The service was great, was seated immediately and well taken care of.",OpenTable,2025-11-23 05:15:08.757383
Brad,Dined 7 days ago,5,5,5,5,"Great experience and amazing food! My wife was not a fan of raw seafood, but the way Miku prepared the seafood absolutely changed her mind ! We will be back! Thanks",OpenTable,2025-11-23 05:15:08.757383
Ali,Dined 7 days ago,5,5,5,5,"We celebrated my daughter’s 22nd birthday dinner at Miku and stayed at the beautiful Pan Pacific hotel across the street. The service was impeccable, the food was absolutely delicious with stunning presentation, and the chef surprised us with a birthday seafood side dish that beat any cake we’ve ever been surprised with at any other restaurant! Haha. Definitely worth the Michelin star rating and would absolutely recommend this restaurant to anyone visiting downtown Vancouver!!",OpenTable,2025-11-23 05:15:08.757383
Karen,"Dined on November 15, 2025",5,5,5,5,"Our lunches, veggie and sushi, were delicious. And the service was excellent, very friendly. The place is beautiful along with the view. 
The only negative is the chairs need to be replaced or stuffed as you sink uncomfortably into them.",OpenTable,2025-11-23 05:15:08.757383
Anh,"Dined on November 15, 2025",5,5,5,5,The ambiance is nice and the restaurant has a great view of the harbor. The sashimi is really fresh and nicely presented. The sushi is season just right so there's not a need to deep in soy sauce. Desert is wonderful and not too sweet. Would definitely come back with a bigger party to try out more items on the menu.,OpenTable,2025-11-23 05:15:08.757383
"Ajay
Gold","Dined on November 15, 2025",5,5,4,5,Amazing food and view! It’s a must try in Vancouver. Still thinking about it!,OpenTable,2025-11-23 05:15:08.757383
IVAN,"Dined on November 14, 2025",5,5,5,5,"Dining at Miku in Vancouver was an outstanding experience from start to finish. The service was attentive without being intrusive, and the atmosphere struck a perfect balance between elegance and warmth. Every dish showcased remarkable technique and freshness, especially the aburi sushi, which stood out for its exceptional flavor and texture.

The presentation reflected true attention to detail, and each bite felt like something special. The drink selection also deserves mention, as it paired beautifully with the meal.

Miku not only met expectations, it exceeded them. I would gladly recommend it to anyone looking for a top-tier dining experience in Vancouver.",OpenTable,2025-11-23 05:15:08.757383
Julia,"Dined on November 14, 2025",5,5,5,4,"The food was fantastic, and our waiter’s recommendations were spot-on. We also had a great table for celebrating my birthday. Overall, it was an excellent experience, though the washrooms could have been cleaner and the table setup felt a bit bare and lacking coziness.",OpenTable,2025-11-23 05:15:08.757383
Joao,"Dined on November 13, 2025",2,5,1,2,"Good evening,

I made a reservation at your restaurant today through OpenTable for 9:00 p.m. I arrived about five minutes early and waited at the reception for at least another seven to ten minutes before anyone came to assist me. When I mentioned that I had a reservation through OpenTable for a table, I was asked if I would mind sitting at the bar instead. I politely reiterated that I had specifically chosen a table in order to have a pleasant dining experience.

Eventually, I was shown to a table, where I waited another ten minutes before the waitress came over with the menu and wine list. I explained that, since it was my first time at the restaurant, I would like to start by ordering the appetizers, and then choose the wines accordingly, depending on how the dishes paired.

About ten minutes after my delicious first course had arrived, and after I had selected the first sparkling wine to pair with it, the waitress informed me that I should choose my second course right away, as the kitchen was about to close and only desserts would soon be available. I pointed out that I had made my reservation for 9:00 p.m., and yet I was being told this at 9:30 p.m.

I explained that this was not the kind of experience I was expecting—especially from a restaurant recommended by the Michelin Guide. She replied, somewhat curtly, that she didn’t make the rules but that the kitchen closed at 9:30 p.m. I asked to speak with the manager, who, after I explained the situation, told me it had been a communication mistake and assured me that my dining experience would be properly taken care of.

I ordered a second appetizer and, after tasting it, selected a wine to pair with it, which took another ten minutes to arrive. At this point, it is important to note that the waitstaff seemed lost and disorganized; they did not make eye contact with guests, and we had to constantly gesture to get their attention. This is a basic expectation of good service and was completely lacking.

Finally, f",OpenTable,2025-11-23 05:15:08.757383
Mauricio,"Dined on November 12, 2025",5,5,5,5,"A-MA-ZING sushi and sashimi!!!!
Great service (look fo Charlotte if she’s working)",OpenTable,2025-11-23 05:15:08.757383
Rosario,"Dined on November 10, 2025",5,5,5,5,Miku is my fav resto to go! Enjoy the cooked food & aburi selection.,OpenTable,2025-11-23 05:15:08.757383
Ramin,"Dined on November 10, 2025",4,5,5,2,"In total, it's a cozy and great area. Niko served us and he was literally experienced and well behaviours.
The only problem is I requested for an ocean view table by 24 hrs reservation in advance however got a table behind the huge column with a wall view.",OpenTable,2025-11-23 05:15:08.757383
Payam,"Dined on November 9, 2025",5,5,5,5,"Excellent job! Super nice stuff and the food is amazing. Highly recommended. I’ve been here several times and every time I come to Vancouver, I’ll make sure I go here.",OpenTable,2025-11-23 05:15:08.757383
Gavin,"Dined on November 9, 2025",5,5,5,5,We sat at the bar and had a great experience. We had the kaiseki and loved every portion.,OpenTable,2025-11-23 05:15:08.757383
"Anne
Gold","Dined on November 9, 2025",5,5,5,5,The food was very tasty. The place was hopping and everyone was having a great time. Ambience was excellent. Great place for any kind of celebration.,OpenTable,2025-11-23 05:15:08.757383
Victoria,"Dined on November 8, 2025",2,3,1,3,The price compares to service we received wasn’t worth it. The food tasted mid also.,OpenTable,2025-11-23 05:15:08.757383
"David
Gold","Dined on November 8, 2025",5,5,5,5,We had an amazing experience!  Andy was perfect on assisting us and explaining each dish from Omakase prepared by the Chef.  The food was prepared perfectly and the service was splendid.  We can’t wait to go back.,OpenTable,2025-11-23 05:15:08.757383
Dan,"Dined on November 8, 2025",3,3,3,5,"We’ve been many times - the sushi and lamb chops were outstanding , as always.  However the potatoes accompanying the lamb looked beautiful but were cold as ice.  The Brussel sprout chips  were giant Brussel sprouts not cooked through- the best part is the crispy chips and there were very few- unlike any time I have had them in the past.  The bar service was mediocre - again unlike the table service experienced in the past.",OpenTable,2025-11-23 05:15:08.757383
April,"Dined on November 8, 2025",5,5,5,5,"Outstanding night out! Service and food were superb. And as weird as it sounds for a sushi restaurant, I HIGHLY recommend the lamb chops. (Sadly forgot to take a picture of them.)",OpenTable,2025-11-23 05:15:08.757383
